unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location
66464483,2025-10-14T01:48:58.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10466,953 EAST  225 STREET,EAST  225 STREET,BRONXWOOD AVENUE,PAULDING AVENUE,BRONXWOOD AVENUE,PAULDING AVENUE,ADDRESS,BRONX,EAST  225 STREET,,In Progress,,,2025-10-14T02:16:24.000,12 BRONX,2048610022,BRONX,1024825,261931,MOBILE,Unspecified,BRONX,,,,,,,,40.88552086,-73.85325979,"
,  
(40.88552086482374, -73.85325979151263)"
66473372,2025-10-14T01:48:56.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11103,45-85 28 AVENUE,28 AVENUE,45 STREET,46 STREET,45 STREET,46 STREET,ADDRESS,ASTORIA,28 AVENUE,,In Progress,,,,01 QUEENS,,QUEENS,1009430,217391,MOBILE,Unspecified,QUEENS,,,,,,,,40.76332866,-73.90910318,"
,  
(40.76332865626709, -73.9091031774447)"
66464518,2025-10-14T01:48:22.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:43.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66473160,2025-10-14T01:48:09.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10029,128 EAST  108 STREET,EAST  108 STREET,PARK AVENUE,LEXINGTON AVENUE,PARK AVENUE,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST  108 STREET,,In Progress,,,2025-10-14T02:02:39.000,11 MANHATTAN,1016357501,MANHATTAN,999240,228473,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79376897,-73.94586314,"
,  
(40.793768965432314, -73.94586313625102)"
66471771,2025-10-14T01:47:44.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:33.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66464515,2025-10-14T01:46:54.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:47.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66473138,2025-10-14T01:46:46.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10463,2854 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,WEST  229 STREET,WEST  230 STREET,WEST  229 STREET,WEST  230 STREET,ADDRESS,BRONX,KINGSBRIDGE TERRACE,,In Progress,,,2025-10-14T02:02:19.000,08 BRONX,2032530133,BRONX,1011173,257790,ONLINE,Unspecified,BRONX,,,,,,,,40.87420732,-73.90264908,"
,  
(40.874207322276355, -73.9026490846547)"
66467429,2025-10-14T01:46:20.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11226,101 WOODRUFF AVENUE,WOODRUFF AVENUE,ST PAULS PLACE,OCEAN AVENUE,ST PAULS PLACE,OCEAN AVENUE,ADDRESS,BROOKLYN,WOODRUFF AVENUE,,In Progress,,,2025-10-14T02:29:07.000,14 BROOKLYN,3050530051,BROOKLYN,994597,177442,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.65370794,-73.96270993,"
,  
(40.65370793721925, -73.96270993293973)"
66464516,2025-10-14T01:46:19.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:35.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66464509,2025-10-14T01:45:52.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11212,270 MOTHER GASTON BOULEVARD,MOTHER GASTON BOULEVARD,EAST NEW YORK AVENUE,LIBERTY AVENUE,EAST NEW YORK AVENUE,LIBERTY AVENUE,ADDRESS,BROOKLYN,MOTHER GASTON BOULEVARD,,In Progress,,,2025-10-14T02:26:33.000,16 BROOKLYN,3034890001,BROOKLYN,1009861,184398,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67276962,-73.90767285,"
,  
(40.672769616675254, -73.9076728513286)"
66470363,2025-10-14T01:45:27.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:45.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66464494,2025-10-14T01:45:21.000,,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10466,924 EAST  223 STREET,EAST  223 STREET,BRONXWOOD AVENUE,PAULDING AVENUE,BRONXWOOD AVENUE,PAULDING AVENUE,ADDRESS,BRONX,EAST  223 STREET,,In Progress,,,,12 BRONX,2048580054,BRONX,1024445,261479,MOBILE,Unspecified,BRONX,Car,,,,,,,40.88428201,-73.85463678,"
,  
(40.88428200701459, -73.85463677837403)"
66468899,2025-10-14T01:44:55.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:34.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66468903,2025-10-14T01:44:55.000,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11102,26-38 21 STREET,21 STREET,26 ROAD,27 AVENUE,26 ROAD,27 AVENUE,ADDRESS,ASTORIA,21 STREET,,In Progress,,,2025-10-14T02:05:09.000,01 QUEENS,4008850001,QUEENS,1004907,220871,MOBILE,Unspecified,QUEENS,,,,,,,,40.77289207,-73.92541997,"
,  
(40.772892074525686, -73.9254199682842)"
66463038,2025-10-14T01:44:22.000,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10463,2854 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,WEST  229 STREET,WEST  230 STREET,WEST  229 STREET,WEST  230 STREET,ADDRESS,BRONX,KINGSBRIDGE TERRACE,,In Progress,,,2025-10-14T02:00:54.000,08 BRONX,2032530133,BRONX,1011173,257790,ONLINE,Unspecified,BRONX,,,,,,,,40.87420732,-73.90264908,"
,  
(40.874207322276355, -73.9026490846547)"
66465965,2025-10-14T01:43:59.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:43.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66465966,2025-10-14T01:43:31.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:31.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66473162,2025-10-14T01:42:32.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:38.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66473219,2025-10-14T01:42:12.000,2025-10-14T02:49:25.000,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,Street/Sidewalk,10002,54 MARKET STREET,MARKET STREET,MADISON STREET,MONROE STREET,MADISON STREET,MONROE STREET,ADDRESS,NEW YORK,MARKET STREET,,Closed,,The person has refused services from the mobile outreach response team.,2025-10-14T02:46:15.000,03 MANHATTAN,1002740044,MANHATTAN,985836,198595,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.71177401,-73.99427916,"
,  
(40.71177400563034, -73.99427915676235)"
66470370,2025-10-14T01:42:06.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:29.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66465958,2025-10-14T01:41:59.000,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103,36-08 30 AVENUE,30 AVENUE,36 STREET,37 STREET,36 STREET,37 STREET,ADDRESS,ASTORIA,30 AVENUE,,In Progress,,,2025-10-14T02:10:47.000,01 QUEENS,4006510044,QUEENS,1007178,217974,ONLINE,Unspecified,QUEENS,,,,,,,,40.76493497,-73.91723064,"
,  
(40.7649349673246, -73.91723063750871)"
66467434,2025-10-14T01:41:05.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:44.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66470367,2025-10-14T01:40:42.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:34.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66471755,2025-10-14T01:39:45.000,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10463,128 WEST  238 STREET,WEST  238 STREET,FORT INDEPENDENCE STREET,BAILEY AVENUE,FORT INDEPENDENCE STREET,BAILEY AVENUE,ADDRESS,BRONX,WEST  238 STREET,,In Progress,,,,08 BRONX,2032620071,BRONX,1012528,261140,MOBILE,Unspecified,BRONX,,,,,,,,40.88339779,-73.8977354,"
,  
(40.883397790439346, -73.89773540098226)"
66471772,2025-10-14T01:39:37.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:35.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66473153,2025-10-14T01:39:33.000,,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10075,1095 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST   76 STREET,EAST   77 STREET,EAST   76 STREET,EAST   77 STREET,ADDRESS,NEW YORK,LEXINGTON AVENUE,,In Progress,,,2025-10-14T02:09:49.000,08 MANHATTAN,1014110053,MANHATTAN,995347,221092,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.77351583,-73.95993502,"
,  
(40.773515832497374, -73.95993501995491)"
66464599,2025-10-14T01:39:29.000,2025-10-14T02:29:07.000,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,Street/Sidewalk,10013,85 CENTRE STREET,CENTRE STREET,WORTH STREET,HOGAN PLACE,WORTH STREET,HOGAN PLACE,ADDRESS,NEW YORK,CENTRE STREET,,Closed,,The person has refused services from the mobile outreach response team.,2025-10-14T02:26:47.000,01 MANHATTAN,1001680032,MANHATTAN,983731,199955,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.71550701,-74.00187218,"
,  
(40.71550700812575, -74.00187218406727)"
66473144,2025-10-14T01:39:19.000,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11420,118-02 109 AVENUE,109 AVENUE,118 STREET,LEFFERTS BOULEVARD,118 STREET,LEFFERTS BOULEVARD,ADDRESS,SOUTH OZONE PARK,109 AVENUE,,In Progress,,,,10 QUEENS,4115990001,QUEENS,1033362,187807,ONLINE,Unspecified,QUEENS,,,,,,,,40.68202735,-73.82292754,"
,  
(40.68202735116981, -73.82292754429713)"
66463056,2025-10-14T01:39:17.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:24.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66468246,2025-10-14T01:38:10.000,2025-10-14T01:38:35.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-10-14T01:38:38.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66462370,2025-10-14T01:37:53.000,2025-10-14T01:38:52.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-10-14T01:38:55.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66467289,2025-10-14T01:37:49.000,,TLC,Taxi and Limousine Commission,Lost Property,Electronics/Phones,Taxi,10011,92 9 AVENUE,9 AVENUE,WEST   16 STREET,WEST   17 STREET,WEST   16 STREET,WEST   17 STREET,ADDRESS,NEW YORK,9 AVENUE,,In Progress,,,,04 MANHATTAN,1007400001,MANHATTAN,983069,209778,ONLINE,Unspecified,MANHATTAN,,,"92 9 AVENUE, MANHATTAN (NEW YORK), NY, 10011",,,,,40.74246868,-74.00426193,"
,  
(40.742468680179456, -74.00426193477318)"
66470371,2025-10-14T01:37:34.000,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10309,168 MACGREGOR STREET,MACGREGOR STREET,HOLTEN AVENUE,SEGUINE AVENUE,HOLTEN AVENUE,SEGUINE AVENUE,ADDRESS,STATEN ISLAND,MACGREGOR STREET,,In Progress,,,2025-10-14T02:12:56.000,03 STATEN ISLAND,5066770029,STATEN ISLAND,928793,130114,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.52363478,-74.19947549,"
,  
(40.52363478309076, -74.19947548745674)"
66470379,2025-10-14T01:36:55.000,,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10128,1737 YORK AVENUE,YORK AVENUE,EAST   90 STREET,EAST   91 STREET,EAST   90 STREET,EAST   91 STREET,ADDRESS,NEW YORK,YORK AVENUE,,In Progress,,,2025-10-14T01:59:55.000,08 MANHATTAN,1015700024,MANHATTAN,999464,223005,MOBILE,Unspecified,MANHATTAN,Car,,,,,,,40.77876039,-73.94506654,"
,  
(40.77876038639597, -73.94506653746625)"
66463760,2025-10-14T01:36:42.000,2025-10-14T01:38:40.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-10-14T01:38:44.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66464486,2025-10-14T01:36:36.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11434,131 AVENUE,131 AVENUE,131 AVENUE,160 STREET,131 AVENUE,160 STREET,INTERSECTION,,,,In Progress,,,2025-10-14T02:05:13.000,12 QUEENS,,QUEENS,1045416,185077,PHONE,Unspecified,QUEENS,,,,,,,,40.67445905,-73.779492,"
,  
(40.67445905471325, -73.77949200156618)"
66469618,2025-10-14T01:36:29.000,2025-10-14T01:38:49.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-10-14T01:38:53.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66472313,2025-10-14T01:36:02.000,2025-10-14T01:47:19.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11207,511 WILLIAMS AVENUE,WILLIAMS AVENUE,LIVONIA AVENUE,RIVERDALE AVENUE,LIVONIA AVENUE,RIVERDALE AVENUE,ADDRESS,BROOKLYN,WILLIAMS AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-10-14T01:47:23.000,05 BROOKLYN,3038190010,BROOKLYN,1012682,180954,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.663308,-73.89751774,"
,  
(40.663308000053604, -73.89751773618866)"
66463012,2025-10-14T01:36:00.000,,NYPD,New York City Police Department,Drinking,In Public,Residential Building/House,11432,84-28 HOMELAWN STREET,HOMELAWN STREET,84 AVENUE,KENDRICK PLACE,84 AVENUE,KENDRICK PLACE,ADDRESS,JAMAICA,HOMELAWN STREET,,In Progress,,,,08 QUEENS,4098770001,QUEENS,1041820,200480,ONLINE,Unspecified,QUEENS,,,,,,,,40.71676071,-73.79232415,"
,  
(40.71676071023663, -73.79232415204866)"
66462461,2025-10-14T01:35:15.000,2025-10-14T01:38:34.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-10-14T01:38:38.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
